,publication_date,num_pages,price,الادارة والاعمال,الادب والشعر,التاريخ والجغرافيا,التراجم والسير,التقنية والكمبيوتر,الخيال العلمي,العلوم الاجتماعية والسياسية,العلوم والرياضيات,القانون,القصة والرواية,الكتب الطبية,تطوير الذات,دراسات اسلامية,وصل حديثاً,cover_غلاف مقوى,cover_غلاف مقوى فني,cover_غلاف ورقي,cover_كتاب الكتروني,Language_انجليزي,Language_عربي,Cluster,image_urls,title,author
77,2020,199,69.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,18,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/4/9/5/8/4958f796101fef935a605bbac10d5e79aae3740b_594378.jpg",‎النصر من الالهة‎,‎علي جبار الطائي ‎/‎ سعد عبود سمار‎
78,2011,502,9.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/502145.jpg",The Technician - A Polity Novel,‎Neal Asher‎
79,2015,281,19.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488112.jpg",Pharmaceutical Microbiology ‎1,‎Zankhana Sheth‎
80,2015,367,349.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/508485.jpg",Calculus,‎Robert Smith‎
81,2014,282,64.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,11,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/473877.jpg",‎أنظمة الحكم والدولة في المملكة العربية السعودية‎,‎وحيد حمزة هاشم‎
82,2017,367,50.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,16,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489074.jpg",How Can I Become A Dafor,‎Mohammed Al Hussein‎
83,2021,272,52.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/567212.jpg",‎فتاة الياقة الزرقاء‎,‎عمرو عبدالحميد‎
84,2010,168,40.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,13,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/7/375482.jpeg",‎السعودية نموذجا لعربية وسبل معالجتها ودور مجلس الشورى في ذلك المملكة العربية تقدير حجم الحوادث المرورية,‎عبدالجليل السيف‎
85,2017,464,139.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/495198.jpg",Oracle Application Express,‎Arie Geller‎
86,2017,380,129.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/501145.jpg",Otolaryngology,‎Neeraj Sethi‎
87,2021,123,69.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,18,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/d/d/6/f/dd6fa170d84401cc344c7edc56edbce64dba1ad1_594368.jpg",‎العلاقات الاسلامية الكوردية في ظل الحكم الاموي‎,‎جوتيار تمر‎
88,2018,168,32.86,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/0/500649.jpg",‎توماس هوبز مؤسس نظرية الحق الطبيعي‎,‎عصام عبدالفتاح‎
89,2016,200,59.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489118.jpg",Diabetes Clinical Case Series ‎-‎ ‎1,‎Viswanathan Mohan‎
90,2012,580,35.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/0/508357.jpg",Essentials of Physics,‎Sanjay Moreshwar Wagh‎
91,2019,212,30.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/5/3/8/f/538f9358658348bd40f5a33cd6767454db966f1e_598704.jpg",An Introduction to Supramolecular Chemistry,‎Asim Das‎
92,2015,176,15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/450035.jpg",Jack The Ripper,‎Otto Penzler‎
93,2022,160,69.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/7/4/0/8/740844dace615e10433ef392bf9c54aa4b54fa89_592741.jpg",Simply Economics,‎Staffs of DK (Dorling Kindersley)‎
94,2010,425,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,17,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/423919.jpg",200‎ Golden Hadiths Urdu,‎Abu Malik Mujahid‎
95,2005,1216,55.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/2/323644.jpg",A Storm of Swords,‎George R. R. Martin‎
96,2020,280,29.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/4/547121.jpg",Our House is on Fire - Scenes of a Family and a Planet in Crisis,‎Greta Thunberg‎
97,2007,93,89.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,20,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/1/311067.jpg",The Practitioner's Pocket Pal,‎Jim Hancock‎
98,2021,160,69.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,21,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/8/7/f/1/87f19d3239601cdb9142e1c07e55eb7548637c62_579375.jpg",Simply Astronomy,‎Staffs of DK (Dorling Kindersley)‎
99,2024,412,69.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/2/1/6/9/21693f7f064b1c00024e03d684e4aac4deb7ecb5_644145.jpg",‎أسفار مدينة الطين 3‎,‎سعود السنعوسي‎
100,2013,368,69.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/3/435498.jpg",Wireless Networking Absolute Beginner's Guide,‎Michael Miller‎
101,2022,223,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,22,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/2/4/4/d/244d533562ecfd0eaf8741cff82aa75102c5872d_625810.jpg",The Blame Game: Industrial States vs Oil - Agenda-driven Fight Over Climate Change,‎Mohammad Al Sabban‎
103,2013,56,168.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/0/f/0/b/0f0bd71efe34e014186a942ed0c3b191be8c5401_9783659478604.jpg",Soliton Solutions,"Shukri, Sami"
104,2024,135,33.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,12,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/8/8/1/9/88199cd9f0b2c4f4ce7db37e9d668c10d580bff5_644905.jpg",‎ملاحظات في ألوان‎,‎لودفيغ فتغنشتاين‎
105,2014,316,345.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/8/e/8/c/8e8cf33e6d31015fbf21e2cf1ed3691734c64378_9781489994202.jpg",Integral Geometry and Radon Transforms,"Helgason, Sigurdur"
106,2012,576,45.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/4/449848.jpg",The Lord of The Rings: Fellowship of The Ring,‎J. R. R. Tolkien‎
107,2021,688,189.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/5/f/e/0/5fe00cfce4cfcdfa3dbc612e2cbbb2d702221ee7_609093.jpg",Algebra I,‎Mary Jane Sterling‎
108,2020,496,59.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/556051.jpg",Underland - A Deep Time Journey,‎Robert Macfarlane‎
109,2023,215,33.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,18,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/d/6/7/3/d673c01e467d9c81bed647b33e850e30df63083f_623230.jpg",‎وحوش بشرية عبر التاريخ‎,‎منصور عبدالحكيم‎
110,2017,458,69.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/0/506030.jpg",Textbook for Operation Theater Technicians,‎Neelam Rai‎
111,2020,272,59.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/4/547383.jpg",Life Lessons from a Brain Surgeon - The New Science and Stories of the Brain,‎Rahul Jandial‎
112,2012,400,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/413005.jpg",Economic Analysis in Health Care,‎Stephen Morris‎
