title,brand,author,cover,publication_date,category,reviews,num_pages,price,img_url,Language,url
Manual of Dermatological Differential Diagnosis,CBS Publishers & Distributors,‎Debabrata Bandyopadhyay‎,Paperback,2015,"الكتب الطبية,",Not found,‎308‎ Pages‎,29,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488032.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488032.html
Clinical Microbiology,CBS Publishers & Distributors,‎Bani Baral‎,Paperback,2015,"الكتب الطبية,",Not found,‎223‎ Pages‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488033.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488033.html
Clinics in Reproductive Medicine and Assisted Reproductive Technology ‎2017,CBS Publishers & Distributors,‎B. N. Chakravarty‎,Paperback,2017,"الكتب الطبية,",Not found,Not found,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488036.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488036.html
Exam Oriented Review in Physiology,CBS Publishers & Distributors,‎M. Chandrasekar‎,Paperback,2013,"الكتب الطبية,",Not found,‎384‎ Pages‎,25,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488037.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488037.html
Essentials in Gynecology,CBS Publishers & Distributors,‎Snehamay Chaudhuri‎,Paperback,2015,"الكتب الطبية,",Not found,‎398‎ Pages‎,55,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488038.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488038.html
Neonatal Equipment,CBS Publishers & Distributors,‎Ashok Deorari‎,Paperback,2017,"الكتب الطبية,",Not found,Not found,29,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488048.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488048.html
Nutrition Science,CBS Publishers & Distributors,‎R. Gajalakshmi‎,Paperback,2014,"الكتب الطبية,",Not found,‎450‎ Pages‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488052.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488052.html
Medical Physiology,CBS Publishers & Distributors,‎R. K. Marya‎,Paperback,2016,"الكتب الطبية,",Not found,‎672‎ Pages‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488084.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488084.html
Textbook of Neuroanatomy with Clinical Orientation,CBS Publishers & Distributors,‎Krishna Garg‎,Paperback,2015,"الكتب الطبية,",Not found,‎360‎ Pages‎,29,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488053.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488053.html
PSYCHIATRY,CBS Publishers & Distributors,‎Sandeep Govil‎,Paperback,2017,"الكتب الطبية,",Not found,Not found,25,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488056.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488056.html
ENT EASY,CBS Publishers & Distributors,‎D. Vijaya Govindarajan‎,Paperback,2015,"الكتب الطبية,",Not found,‎64 صفحة‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488057.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488057.html
Essential Pediatric Nursing,CBS Publishers & Distributors,‎Piyush Gupta‎,Paperback,2008,"الكتب الطبية,",Not found,Not found,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488061.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488061.html
Manual of Instruments and Operative Surgery,CBS Publishers & Distributors,‎A. K. Gvalani‎,Paperback,2016,"الكتب الطبية,",Not found,‎326‎ Pages‎,29,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488062.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488062.html
Handbook of Oral Pathology,CBS Publishers & Distributors,‎Santosh Hunasgi‎,Paperback,2015,"الكتب الطبية,",Not found,‎200‎ صفحة‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488063.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488063.html
Case Discussions in Surgery,CBS Publishers & Distributors,‎Sudhir Kumar Jain‎,Paperback,2015,"الكتب الطبية,",Not found,‎296‎ Pages‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488064.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488064.html
Practical Physiology for Dental Students,CBS Publishers & Distributors,‎N. A. John‎,Paperback,2016,"الكتب الطبية,",Not found,‎176‎ Pages‎,15,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488066.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488066.html
Practical Physiology for MBBS Students,CBS Publishers & Distributors,‎N. A. John‎,Paperback,2016,"الكتب الطبية,",Not found,‎260‎ Pages‎,25,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488067.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488067.html
Practical Anatomy and Physiology,CBS Publishers & Distributors,‎N. A. John‎,Paperback,2016,"الكتب الطبية,",Not found,‎184‎ Pages‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488069.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488069.html
Essentials of Oral Biology,CBS Publishers & Distributors,‎Maji Jose‎,Paperback,2016,"الكتب الطبية,",Not found,‎384‎ Pages‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488070.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488070.html
Manual of Oral Histology and Oral Pathology,CBS Publishers & Distributors,‎Maji Jose‎,Paperback,2016,"الكتب الطبية,",Not found,‎184‎ Pages‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488071.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488071.html
Tobacco and Oral Health,CBS Publishers & Distributors,‎Tanushree Keswani‎,Paperback,2016,"الكتب الطبية,",Not found,‎88‎ Pages‎,29,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488073.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488073.html
Textbook of Pediatrics,CBS Publishers & Distributors,‎G. P. Mathur‎,Paperback,2015,"الكتب الطبية,",Not found,‎1090‎ Pages‎,59,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488086.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488086.html
